ATP5F1A,HSP90AA1,PRDX1,ST13,PROZ,CBR1,PRDX5,BHMT,DCP1B,ANXA4,HSP90AB1,CNDP2,TPM3,PAM,HSPB1,RAD23B,GSPT2,ARPC5,KRT8,KRT7,CORO1C,NDN,CALD1
422.95045,325.1249736,704.3456745,1180.2421,14104.12144,1790.245645,4276.696001,13375.51095,2719.443802,1736.414226,51.3161134,2035.399516,26985.82031,2260.152806,15181.25998,735.6687197,2087.519165,847.9892536,3002.965435,962.1931087,324.0701329,7576.460935,0
820.9269604,20327.86474,7179.719241,1589.776602,9866.620963,5633.973551,7107.980671,20436.17699,3402.377404,1871.785928,20089.63921,3166.425099,35507.75926,3361.888116,16326.9111,3243.810713,1667.986208,2230.472611,13182.16614,1347.17356,2102.60964,59664.09405,3026.013093
2302.339948,246.6499627,355.0942894,401.2626395,5805.708499,2105.385873,3554.981584,4405.51841,1004.045692,235.2613596,0,1786.274947,2648.380301,2981.05266,8666.382282,0,819.3647365,288.9414593,1292.69827,514.8176541,925.3505446,1811.674104,1002.377845
0,213.4369061,1669.071304,343.6064369,2644.443321,1179.122356,871.9783695,7355.608227,716.6375863,256.1922691,0,1349.159583,34893.39039,1211.170068,8303.083961,894.7388344,235.8551438,0,647.4476067,380.3414699,1046.938079,6727.933706,269.9928435
177.6064911,8301.389708,3135.192854,209.6769629,2147.86419,2250.029696,6710.05082,27736.86089,371.9631917,1721.644664,8301.389708,4282.329847,25063.82567,2764.697395,61124.88092,1181.091768,717.850275,1014.177451,12431.6825,1350.198271,0,11115.27144,61.38514976
895.8398546,13077.53392,315.4203805,1121.802547,36368.94198,3541.566286,4720.60649,86529.11782,2370.924002,1031.958443,11936.60554,4695.988781,12773.86045,894.4219354,28462.75199,1869.829378,4151.128819,2377.377369,6902.994799,620.7987195,1575.702362,0,546.7329037
1241.725886,4904.755365,194.4190105,265.8666521,3768.982461,2070.531073,6095.074091,6275.082055,637.7333632,545.0794344,3681.78984,0,6040.485687,0,9256.882738,437.9651405,241.4521799,0,1861.151754,203.3866788,587.7857016,901.8737415,169.8543301
1237.749773,990.8591109,11644.83611,1126.048177,9727.547647,2350.641061,7711.290504,5883.579796,387.6395278,0,0,2182.029522,16728.09127,1848.089314,109726.3205,2987.888635,1153.603251,0,4962.826153,1652.99409,269.1616973,14515.54453,2536.393396
903.326166,393.2545126,2333.64657,1076.712393,20403.36638,1275.413078,5055.458977,11677.86452,2804.67124,745.0555435,51.88083809,1938.275284,28809.86347,1912.935984,9252.403055,2242.738413,1896.561555,834.9072931,3245.867881,1078.551107,777.8749907,27044.02256,2728.283978
0,12991.5735,1753.907716,902.1186909,9549.159767,4435.586724,10024.87684,15207.02659,0,2564.535845,11686.66767,2656.345214,4323.54322,1709.307006,60892.24866,1468.460084,3939.054204,1003.755861,12681.79205,1935.53313,826.7672409,17364.90994,1635.943781
1189.638972,19097.21209,11127.44719,1752.473759,61546.1484,3058.211189,7383.614365,21586.48141,1008.341801,1576.5345,17671.68035,2070.638146,12674.37252,5491.056363,95177.13303,3465.917723,1018.412031,843.7209532,12594.70201,1710.590324,1363.739485,54410.0987,1379.260577
167.6136988,17741.46426,4142.065289,1529.172257,11006.78618,856.0360295,1506.686857,20281.24137,1304.753782,0,17118.18785,2666.705351,26124.10946,1342.472176,8376.042461,465.775356,0,896.2788927,2535.187845,0,312.7797629,1255.148889,561.8162869
