,meta_group,ATP5F1A,PRDX1,PROZ,BHMT,DCP1B,TPM3,PAM,RAD23B,GSPT2,ARPC5,KRT7,CORO1C,NDN,CALD1
1,0,635.5584929,2837.280744,6769.793172,225680.8446,370.8425358,22610.15504,1270.935661,1533.329884,375.2081706,4503.507704,147.2423223,986.9892533,3344.717839,1523.54972
2,0,0,9931.753546,14907.2433,89745.80519,2898.887331,54259.23832,2922.570539,338.8503341,1071.753335,1493.600171,432.5851035,1298.899031,17054.31813,4209.431189
3,0,3340.116516,340.9982851,16108.78433,86922.5145,1733.267383,18397.97158,887.8178574,431.5561497,0,2668.769253,0,232.9251346,371.183154,256.1648276
4,0,3982.912727,30725.50343,9263.754323,202747.3972,3218.896356,58329.11711,1231.323813,0,1381.355686,2343.556574,745.7011743,648.2096838,3619.247387,2493.346776
5,0,460.2073383,10477.83332,33655.03574,49799.90333,4110.944149,70135.40125,3612.097574,0,1034.53298,2312.594213,191.5444132,1615.12203,5919.795287,14479.44185
6,0,1364.501322,27559.0663,29725.25017,452690.3499,3828.57165,49859.5511,2358.349902,1692.706281,1559.144034,4209.221672,834.4461496,2375.2741,23793.94792,8579.691346
7,0,1241.624912,0,6141.58919,21814.9845,1718.051167,26515.73072,756.5597872,0,0,763.1297499,586.9515721,338.3665073,938.9781391,1565.088007
8,0,466.6561565,0,30159.35914,88079.69262,2723.737044,34187.03295,2646.519334,0,570.4234607,942.805306,552.1845674,1084.749187,3924.054497,3061.588755
9,0,467.5930774,2654.196782,4423.963187,28243.19371,0,7443.415615,791.4808729,774.7707569,939.0673352,504.2164673,0,621.0445288,2281.519017,1404.306877
10,0,1354.616668,16079.4074,108146.2149,94180.96172,3395.122424,42314.73019,14380.69666,5861.291315,2163.595607,97.38385494,3262.855527,2838.744718,66894.68802,353.2356118
11,0,5127.97669,2882.367169,117693.4307,14120.22005,1620.821642,21705.26218,5947.326636,8679.560028,0,230.0545053,2451.338739,2109.762651,32783.44562,229.0282175
12,0,7224.297783,4261.072889,66331.03762,4818.233393,494.145835,36838.95927,3116.97551,2826.492027,211.5362447,70.73658716,16632.43832,746.7007947,16392.30609,211.8730031
13,0,831.5961666,13825.60131,10197.09855,105826.8843,4397.837912,59655.58578,3933.341906,0,729.9456028,3489.815124,0,3325.513407,2600.062133,6383.827592
14,0,1828.943075,35629.1203,74385.82371,65231.75871,2134.178759,28562.7318,16147.20222,5788.442373,15160.30722,5204.100425,3928.476512,264.03505,51056.60433,550.4186519
15,0,974.1717344,21088.10071,76591.82326,251088.1875,11193.54899,126035.556,6127.570424,2768.107277,2449.829324,3715.188289,1028.396895,2781.083223,47202.00038,13880.56334
16,0,2158.38039,1926.069101,22517.175,84530.61274,3943.884139,44082.8301,2321.439396,305.0373368,760.8722807,1744.350099,1214.057311,1883.174517,3751.691986,2623.570846
17,0,10743.24404,5414.58482,8698.712516,104634.6032,454.6982437,17685.11035,733.8879429,0,1170.07538,10316.4511,5919.133136,0,824.7704879,774.3628511
18,0,1125.900552,421.7338754,23393.93214,17649.25272,155.3566999,22151.02373,834.3837969,709.9586509,892.2436021,356.5208815,2157.973538,1071.335825,22211.26462,741.5891351
